date,PI_CA,SI_CA,II_CA,PI_I,SI_I,II_I,PI_CO,SI_CO,II_CO,PI_W,SI_W,II_W,PI_MM,SI_MM,II_MM,PI_MQ,SI_MQ,II_MQ,PI_MF,SI_MF,II_MF,SI_E,Unemployment,Act_pop_total,Employed_total,Unemployed_3mts,Unemployed_3_6mts,Unemployed_6_12mts,Unemployed_ov6,Unemployed_ov12,HousePrice,HousePrice_S,HousePrice_P,BSI_BC,BSI_SG,BSI_P,BSI_FS,BSI_HR,PI_P,PI_C,PI_SI,PI_PA,MB,Currency_cir,CBLIAB_DC,M1,M2,CD,CP,YT_1,YT_3,YT_5,YT_10,CB_3_AA,BaseRate,CB_3_BBB,FX_US,FX_CH,FX_JP,FX_EU,FX_BR,FX_CA,FX_SW,CPI,CPI_F,CPI_C,CPI_H,CPI_HE,CPI_T,CPI_E,CPI_M,SPI_R,SPI_I,SPI_F,SPI_RI,IPI_A,IPI_B,IPI_C,IPI_L,IPI_M,EPI_A,EPI_M,KOSPI,KOSDAQ,Expected_inf,Oilprice,TB_spread,USCPI,IR_House,USB_10,LeadingCI,LaggingCI,VKOSPI
td,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,2,5,5,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,2,5,2,2,5,5,1
04-Aug,75.84,76.02,57.54,51.06,55.72,47.06,86.09,87.17,75.62,61.91,64.29,53.5,61.49,64.1,53.5,132.16,131.57,61.37,63.95,53.4,69.59,69.89,3.7,23373.8,22524.8,542,219,76,88,12,60.34,54.71,67.18,70,86,81,85,96,61.91,103.7,69.4,79.7,37300,17662.7,19637.3,303292,936302.7,3.7,3.84,3.73,3.82,4.01,4.33,4.38,3.5,8.8,1159,139.17,1050.33,1412.07,2109.7,882.28,917.82,84.74,61.82,68.67,74,81.58,81.21,71.3,63.12,66.32,85.93,85.89,83.22,68.93,107.08,78.08,57.63,99.99,98.21,124.47,803.57,355.66,3.4,44.94,0.6,189.2,5.8,4.28,67.4,68.4,22.76
04-Sep,78.56,76.56,58.35,51.31,56.26,47.36,88.11,92.72,74.38,62.61,65.46,53.58,62.18,65.4,53.58,130.25,129.98,62.05,65.33,53.49,68.72,68.96,3.7,23735.1,22943.8,488,215,78,88,10,60.19,54.48,67.16,74,90,81,85,96,62.61,106.05,69.9,79.4,37667.3,17957,19710.3,307810.4,946264.9,3.52,3.69,3.5,3.59,3.75,4.14,4.1,3.5,8.52,1147.97,139.13,1044.92,1400.99,2055.73,887.83,908.75,84.74,61.96,68.67,73.44,81.51,81.21,71.3,63.17,63.74,86.86,85.72,83.47,68.96,106.05,72.5,62.52,99.77,93.45,124.52,835.09,362.08,3.3,45.95,0.64,189.8,5.63,4.13,67.6,68.6,23.73
04-Oct,76.89,76.1,58.14,51.37,56.2,47.44,87.97,90.84,74.36,62.62,65.73,53.37,62.06,65.61,53.37,128.43,133.9,61.95,65.53,53.3,70.02,68.82,3.7,23840.4,23031,498,222,79,89,11,60.04,54.22,67.16,77,89,82,86,95,62.62,101.81,70,79.6,37299.9,18205.1,19094.8,310041.4,946832.6,3.52,3.67,3.48,3.54,3.67,4.05,4.01,3.5,8.4,1144.04,135.26,1049.51,1428.65,2066.03,915.73,925.98,84.74,61.39,68.73,73.3,81.51,81.91,71.3,63.23,66.24,87.98,84.78,84.91,68.32,106.05,77.85,64.2,101.76,96.33,126.44,834.84,357.04,3.3,53.13,0.57,190.8,5.57,4.1,67.8,68.8,27.17
04-Nov,77.55,76.41,59.33,52.35,57.11,49.1,90.86,94.98,73.16,63.69,66.49,54.57,63.36,66.56,54.57,127.96,131.2,63.25,66.43,54.53,68.98,66.66,3.8,23738.4,22917.6,508,224,81,89,8,59.73,53.88,66.92,75,90,80,85,96,63.69,97.1,69.8,80.6,37656.5,18144,19512.5,310468.9,948780.2,3.42,3.57,3.34,3.42,3.53,3.96,3.86,3.25,8.26,1091.19,126.68,1040.99,1416.28,2027.13,911.42,930.65,84.23,59.47,67.49,73.37,81.51,81.99,71.3,63.28,61.44,87.46,84.1,83.47,65.02,100.72,68.79,65.21,98.51,88.32,120.72,878.06,373.43,3.3,48.46,0.62,191.7,5.47,4.19,67.9,69,25.05
04-Dec,77.25,76.02,59.63,52.56,57.46,49.11,86.6,90.37,77.8,62.83,65.12,55.56,62.64,65.06,55.56,131.24,132.07,62.52,65.06,55.53,68.59,64.65,3.8,23497.7,22597.7,574,229,95,97,3,59.45,53.59,66.66,72,88,80,84,95,62.83,100.69,69.2,77.4,37222.4,18261.3,18961.1,320002.1,954714,3.39,3.53,3.28,3.28,3.39,3.85,3.73,3.25,8.14,1050.91,125.08,1012.47,1408.59,2027.79,863.7,917.29,84.38,59.42,68.86,74.14,81.51,81.42,71.3,63.34,58.28,85.49,83.42,81.2,62.51,97.14,64.1,59.15,94.35,75.6,114.08,895.92,380.33,3.4,43.33,0.57,191.7,5.41,4.23,68,69.2,21.29
05-Jan,78.18,78.42,66.35,54.12,59.27,49.63,90.89,94.32,80.08,64.86,68.21,56.72,64.96,68.14,56.72,138.94,132.8,64.82,68.07,56.66,69.83,69.67,3.8,23141.4,22157.7,641,247,93,96,4,59.29,53.39,66.55,68,81,77,82,99,64.86,100.05,71.2,81,37544.5,18333.9,19210.7,321944.6,958086.2,3.47,3.64,3.48,3.65,3.89,4.42,4.11,3.25,8.54,1038.23,124.03,1005.69,1363.74,1951.91,849.27,881.67,85.21,60.61,68.93,74.39,82.94,81.18,71.51,63.24,60.8,86.1,85.54,82.88,62.08,97.05,70,55.7,95.12,75.18,117.46,932.7,472.95,3.2,46.84,0.94,191.6,5.45,4.22,68.1,69.4,18.12
05-Feb,75.73,75.56,63.88,53.49,58.13,49.61,87.04,91.59,77.52,63.39,66.62,56.16,63.24,66.36,56.16,125.49,131.2,63.11,66.29,56.15,71.44,72.04,3.7,23127.3,22134.7,626,268,93,98,5,59.46,53.64,66.6,71,82,80,83,97,63.39,98.11,71.7,79.2,37803.9,18596.7,19207.2,329012.5,965151.9,3.59,3.76,3.48,4.19,4.47,4.88,4.63,3.25,9.05,1022.43,121.37,974.84,1333.91,1932.96,826.68,861.07,85.55,61.9,68.93,74.46,83.02,81.43,71.88,63.05,62.3,85.83,85.72,82.97,61.86,95.59,72.42,59.91,94.25,71.65,116.06,1011.36,498.38,3.3,47.97,1.4,192.4,5.53,4.17,68.5,69.6,16.67
05-Mar,77.48,77.81,60.56,54.77,58.67,50.39,89.46,93.66,75.5,65.4,67.79,56.07,65.08,67.53,56.07,123.82,121.51,64.97,67.45,56.07,73.31,73.2,3.7,23549.5,22590.3,594,256,102,109,7,59.68,53.86,66.82,87,97,88,89,97,65.4,104.39,71.6,80.6,37973.9,18572.7,19401.2,334697.1,977425,3.55,3.73,3.82,4.04,4.29,4.77,4.48,3.25,8.74,1007.49,122.94,957.14,1328.62,1918.21,828.55,857.37,86.07,62.09,68.93,74.39,83.1,82.36,74.02,64.13,66.46,85.93,85.63,83.64,62.46,97.58,81.97,60.49,93.77,73.23,114.43,965.68,455.03,3,54.31,0.95,193.1,5.48,4.5,69.1,69.8,19.69
05-Apr,78.74,81.05,60.36,54.1,58.01,52.01,86.29,91.31,74.12,64.61,67.18,57.09,64.1,66.98,57.09,133.54,134.03,63.94,66.9,57.09,72.42,72.12,3.7,23823.3,22919,541,264,92,100,7,60.01,54.18,67.15,91,98,89,92,96,64.61,104.95,71.5,77.4,37778,18457.7,19320.3,334317.9,982103.7,3.52,3.7,3.71,3.86,4.11,4.69,4.28,3.25,8.36,1010.94,120.47,942.59,1308.75,1916.87,818.83,845.99,86.15,62.39,69,74.09,83.19,83.11,74.09,63.88,69.68,86.1,85.72,84.31,62.46,127.83,84.34,64.56,93.31,76.55,113.65,911.3,424.4,2.9,53.04,0.98,193.7,5.32,4.34,69.3,69.9,22.48
